rank,feature,importance
1,measurement_gates,0.22720321357010947
2,number_of_classical_bits,0.18807274064160098
3,width,0.16769785824914396
4,number_of_qubits,0.13786611702767443
5,gate_measure,0.12465417554476522
6,entangling_gates,0.05487671833672105
7,gate_ccx,0.0224460442017626
8,three_qubit_gates,0.019236671663128417
9,gate_ry,0.007237780181355384
10,single_qubit_gates,0.0068666848138172615
11,gate_sdg,0.006315852987328119
12,gate_cz,0.006180269320313694
13,gate_rx,0.005946657020664763
14,depth,0.005672718081451163
15,total_operations,0.005359156016819881
16,gate_cx,0.002924332237056083
17,parameterized_gates,0.002729509303224871
18,gate_h,0.00212721149646161
19,gate_swap,0.0016088797848545122
20,gate_sx,0.0011252885861587239
21,two_qubit_gates,0.0006000423431758136
22,gate_cp,0.0005789011769923255
23,gate_z,0.0005052493028565204
24,gate_x,0.0005004363986272436
25,gate_t,0.0004987711807580493
26,gate_s,0.0004136545120404256
27,gate_y,0.00040706193594086383
28,gate_rz,0.00034800408519657273
